"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Eyserheide","clusters A to D","Magdalenian","Mag_BSN",1,5.93,50.84,"na","na","NA","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Rensink 2010","NA","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","Eyserheide",4,2
"Bois Laiterie cave","strata YSS+BSC","Magdalenian","Mag_BSN",1,4.86,50.36,"12.6 kyr BP","three 14C-dates AMS, dates of 12,660; 12,625; 12665; two on bone, one on antler","Reliable","Cave","Stratified","Secondary/relocated","Homogeneous","Preseved","1980-2000","Otte and Strauss 1997","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","BoisLaiterie",4,2
"Trou de Chaleux","Otte and older Dupont excavations","Magdalenian","Mag_BSN",1,4.95,50.22,"12.9 - 12.7 kyr BP","5 14C dates (two AMS) four of which in the same time range.","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Otte 1994","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","TroudeChaleux",5,1
"Rekem","entire site (16 clusters)","Federmesser","Feder_BSN",2,5.69,50.91,"11,350 BP (OxA-942)","14C - resin","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","De Bie and Caspar 2000","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Belgium and Southern Netherlands","BSN","NA","Rekem",5,1
"Doel B","three vague concentrations","Federmesser","Feder_BSN",2,4.15,51.17,"na","na","NA","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Perdaen et al. 2004","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","DoelB",3,2
"Meer","three concentrations","Federmesser","Feder_BSN",2,4.74,51.45,"na","na","NA","Openair","Stratified","Primary/insitu","Mixed","No","1950-1980","Van Noten 1978","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Belgium and Southern Netherlands","BSN","NA","MeerII",2,3
"Milheeze Hutseberg","two concentrations","Federmesser","Feder_BSN",2,5.81,51.51,"11,150 ± 60","14C cremated bone","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Rozoy 1978,Lauwerier and Deeben 2011","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Belgium and Southern Netherlands","BSN","NA","MilheezeHutseberg1,MilheezeHutseberg2",4,2
"Westelbeers","several concentrations (minimum one but mixed with Early Mesolithic)","Federmesser","Feder_BSN",2,5.21,51.44,"11,510 ± 60; 11,030 ± 45","14C cremated bone","Reliable","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Arts and Deeben 1976,Snijders 2000","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","WestelbeersZW",4,2
"Ruien","two concentrations (coeval, cf refitting)","Epi-Ahrensburgian","EpiAhr_BSN",3,3.47,50.77,"10,962 ± 48;","14C - ash from hearth (there is a second date with different pretreatment but statistically coherent result)","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Crombé et al. 2014","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","NA",6,1
"Zonhoven-Molenheide","five concentrations (coeval refitting)","Epi-Ahrensburgian","EpiAhr_BSN",3,5.42,51,"10,760  ± 70","14C-charcoal from concentration (nt from hearth)","Problematic","Openair","Stratified","Primary/insitu","Mixed","No","1980-2000","Vermeersch 2013","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Belgium and Southern Netherlands","BSN","NA","ZonhovenMolenheide",3,2
