"Key_site","Level_layer_concentration","TaxUnit","TaxUnit_unique","Timeslice","Long","Lat","Dating_BP","Dating_method","Dating_qual","Site_type","Site_strat","Ass_pos","Ass_coh","Site_fau","Site_excav","Key_references","Outline_AR_TS1","Outline_AR_TS2","Outline_AR_TS3","Outline_AR_TS4","Outline_ES_TS1","Outline_ES_TS2","Outline_ES_TS3","Outline_ES_TS4","Outline_BR_TS1","Outline_BR_TS2","Outline_BR_TS3","Outline_BR_TS4","Macro_region","Macro_region_code","Comments","Site_ID","quality_score","quality_rank"
"Riparo Villabruna","from 17 to 10","Late Epigravettian (Phase 2)","LEpigrav_NEI",12,11.76475,46.08463,"14,800-13,400","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Aimar et al. 1994,Montoya 2004,Montoya and Peresani 2005","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","VillabrunaLayers17u16,Villabrunalayers17u16",4,2
"Grotta del Clusantin","SU 4 (+12, 13, 15)","Late Epigravettian (Phase 2)","LEpigrav_NEI",12,12.88669,46.24509,"14,800-13,500","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Peresani et al. 2008","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","GrottaClusantin",6,1
"Riparo Dalmeri","SU 15a-65","Late Epigravettian (Phase 2)","LEpigrav_NEI",2,11.6021,45.99347,"13,500-13,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Montoya 2008,Agogué and Dalmeri 2005","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","RiparoDalmeripossiblylayer15",5,1
"Riparo Biarzo","SU 5","Late Epigravettian (Phase 3)","LEpigrav_NEI",23,13.48456,46.14387,"13,200-12,800","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Guerreschi 1996","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","Biarzolayer5",4,2
"Riparo Dalmeri","SSUU 14,26b","Late Epigravettian (Phase 3)","LEpigrav_NEI",3,11.6021,45.99347,"13,200-12,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Bassetti et al 1995,1998,Lemorini et al. 2005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","RiparoDalmeriUpperlayers",5,1
"Riparo La Cogola","SU 19","Late Epigravettian (Phase 3)","LEpigrav_NEI",3,11.22979,45.9322,"12,900-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Cusinato 2003,Cusinato et al. 2004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","LaCogolaSU19",6,1
"Palù Echen","SSUU 6, 7","Late Epigravettian (Phase 3)","LEpigrav_NEI",3,11.19577,45.91224,"12,400-12,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Dalmeri et al. 2013","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","PaluEchen",6,1
"Riparo La Cogola","SU 18","Late Epigravettian (Phase 4)/Early Sauveterrian","LEpigravESauv_NEI",4,11.22979,45.9322,"11,400-11,100","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Cusinato 2003,Cusinato et al. 2004","NA","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","Northeastern Italy","NEI","NA","LaCogolaSU18",6,1
"Le Regole 3","NA","Late Epigravettian (Phase 4)/Early Sauveterrian","LEpigravESauv_NEI",4,11.10844,46.47596,"11,200-10,900","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Dalmeri et al. 2004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","NA",6,1
"Riparo di Romagnano, Loc III","AF","Early Sauveterrian (Phase 4)","ESauv_NEI",4,11.10611,46.00724,"11,700-10,900","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Broglio and Kozlowski 1984,Flor et al. 2011","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","RomagnanoLocIIIlayerAE",4,2
"Plan de Frea IV","3BIV","Early Sauveterrian (Phase 4)","ESauv_NEI",4,11.817,46.54714,"11,600-11,200","C15","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Angelucci et al. 2001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","NA",5,1
"Colbricon 9","NA","Early Sauveterrian (Phase 4)","ESauv_NEI",4,11.7662,46.27846,"11,200-10,800","C16","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Bagolini and Dalmeri 1987","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northeastern Italy","NEI","NA","NA",4,2
"Weitsche","NA","Federmesser","Feder_NG",2,11.1265,53.0275,"14000-13000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Veil et al. 2015","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Northern Germany","NG","NA","Weitsche",5,1
"Poggenwisch","NA","Hamburgian","Ham_NG",1,10.203,53.64,"15000-14000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Rust 1958","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Northern Germany","NG","NA","Poggenwisch",4,2
"Wehlen","NA","Federmesser","Feder_NG",123,14.001,50.964,"15000-12000","Typology","Problematic","Openair","Surface","Primary/insitu","Homogeneous","No","Before WW2","Schwabedissen 1954","x","x","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","Wehlen",2,3
"Ahrenshöft LA 58 a","NA","Havelte","Hav_NG",2,9.069,54.559,"14000-13000","Typology","Reliable","Openair","Surface","Secondary/relocated","Homogeneous","No","1950-1980","Hartz 1987","NA","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","Northern Germany","NG","NA","AhrenshoeftLA58a",2,3
"Ahrenshöft LA 58 d","NA","Havelte","Hav_NG",2,9.069,54.559,14000,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Weber et al. 2010","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","AhrenshoeftLA58d",6,1
"Duvensee WP8","NA","Maglemose","Magle_NG",4,10.545,53.699,11000,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Holst 2014","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Northern Germany","NG","NA","DuvenseeWP8",5,1
"Friesack 27a","NA","Maglemose","Magle_NG",4,12.453,52.751,11000,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Groß 2017","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Northern Germany","NG","NA","Friesack27a",5,1
"Friesack 4 (Schichtkomplex 1)","Layer complex 1","Maglemose","Magle_NG",4,12.537,52.749,11000,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Gramsch 2002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","NA",5,1
"Stellmoor","NA","Ahrensburgian","Ahr_NG",3,10.216,53.647,"13000-12000","C14","Reliable","Openair","Stratified","Primary/insitu","Mixed","Preseved","Before WW2","Rust 1958","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","Stellmoor",3,2
"Burow 1","NA","Ahrensburgian","Ahr_NG",3,13.098,53.114,"13000-12000","Typology,Thermoluminescence","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Winkler 2019","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Northern Germany","NG","NA","Burow1",4,2
"Rissen 14","NA","Federmesser, Brommean (?)","Feder_NG",12,9.7702,53.5931,"15000-13000","Typology,Geology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schwabedissen 1954","x","x","NA","NA","NA","NA","NA","NA","x","x","NA","NA","Northern Germany","NG","NA","Rissen14",3,2
"Rissen 14a","NA","Ahrensburgian","Ahr_NG",3,9.7702,53.5931,12000,"Typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Schwabedissen 1954","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Northern Germany","NG","NA","Rissen14a",4,2
"Meiendorf","NA","Hamburgian","Ham_NG",1,10.176,53.626,"15000-14000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Rust 1937","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Northern Germany","NG","NA","Meiendorf",4,2
"Alt Duvenstedt (LA 85, LA 89)","NA","Federmesser","Feder_NG",123,9.6425,54.3577,"15000-13000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Clausen and Hartz 1988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","NA",4,2
"Westertimke Fpl. 69","NA","Federmesser","Feder_NG",123,9.133,53.239,"15000-13000","Typology","Problematic","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Gerken 2001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","NA",4,2
"Sassenholz 82","NA","Brommean","Brom_NG",2,9.311,53.35,"15000-13000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","1980-2000","Breest and Gerken 2008","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","Sassenholz82",2,3
"Sassenholz 78","NA","Brommean","Brom_NG",2,9.311,53.35,"15000-13000","Typology","Problematic","Openair","Surface","Secondary/relocated","Homogeneous","No","1980-2000","Breest and Gerken 2008","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","Sassenholz78",2,3
"Alt Duvenstedt LA 121","NA","Ahrensburgian","Ahr_NG",3,9.646,54.357,"11500-11000","Geology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Clausen 1996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","NA",5,1
"Bierden 30 & 31","NA","Maglemose","Magle_NG",4,9.007,53.016,"12000-11000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Gerken 2011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Northern Germany","NG","NA","NA",6,1
"Helga-Abri","IIId-IIF7","Late/Transitional Magdalenian","TransMag_SG",1,9.75384,48.378886,"15,000-14,300","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Hahn and Scheer 1983,Hess 2019","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","HelgaAbri",4,2
"Zigeunerfels (Schicht F)","H/I-F","Late/Transitional Magdalenian","TransMag_SG",1,9.159282,48.087509,"14,700-14,300","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Taute 1972,Hornauer-Jahnke and Noack 2019","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Southern Germany","SG","NA","ZigeunerfelsF,ZigeunerfelsFG",4,2
"Felsställe","IIIb-IIIa","Late/Transitional Magdalenian","TransMag_SG",1,9.651667,48.281944,"15,000-14,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Kind 1987","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","Felsstalle",4,2
"Abri Schweizersbild","Untere Fundschicht","Late Magdalenian/Technokomplex E","LMagTKE_CH",1,8.640156,47.723933,"15,500-14,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Höneisen and Peyer 1994","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Switzerland","CH","NA","AbriSchweizersbild",4,2
"Hauterive-Champréveyres (secteur 1)","secteur 1","Older Azilian","EAzil_CH",1,6.971148,47.007249,14.3,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Leesch et al. 2004","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Switzerland","CH","NA","HauteriveChampreveyres",5,1
"Neuchâtel-Monruz (secteur 1)","secteur 2","Older Azilian","EAzil_CH",1,6.960661,47.003517,14.3,"C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Leesch et al. 2004","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Switzerland","CH","NA","NeuchateMonruz",5,1
"Birseck-Ermitage (Obere Fundschicht)","Obere Fundschicht","Older Azilian","EAzil_CH",12,7.630317,47.491085,"14,3-13,000","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Sarasin 1913,Sedlmeier 2015","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Switzerland","CH","NA","NA",4,2
"Abri Neumühle","Obere Schuttschicht (Schicht 1)","Older Azilian","EAzil_CH",12,7.327545,47.43983,"14,600-13,200","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Sedlmeier 2015","x","x","NA","NA","x","x","NA","NA","x","x","NA","NA","Switzerland","CH","NA","AbriNeumuhle",4,2
"Grotte de Bichon","n/a","Older Azilian","EAzil_CH",23,6.849723,47.149998,"13,900-12,900","C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Chauvière 2008","NA","x","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","Switzerland","CH","NA","GrottedeBichon",5,1
"Zigeunerfels (Schicht E,Schicht D)","E, D","Late Palaeolithic","LPal_SG",23,9.159282,48.087509,"13,900-12,700","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Taute 1972","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","ZigeunerfelsDE",4,2
"Seeberg-Fürsteiner","n/a","Fazies Fürsteiner","Fuerst_CH",234,7.660151,47.165601,"13,400-11,700","Typology,Environment","Problematic","Openair","Surface","Secondary/relocated","Mixed","Preseved","Before WW2","Wyss 1952","NA","x","x","x","NA","x","x","x","NA","NA","NA","NA","Switzerland","CH","NA","FursteinerSeeberg",0,3
"Abri Wachtfels (Untere Fundschicht)","Untere Fundschicht","Younger Azilian","LAzil_CH",3,7.571189,47.439615,"13,000-12,600","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","Before WW2","Sedlmeier 2015","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","NA","Switzerland","CH","NA","AbriWachtfels",4,2
"Muttenz","n/a","Younger Azilian","LAzil_CH",3,7.641065,47.5186,"13,00-12,600","Typology,Environment","Reliable","Openair","Stratified","Secondary/relocated","Homogeneous","Preseved","1950-1980","Sedlmeier 2015","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Switzerland","CH","NA","NA",3,2
"Sarching83","n/a","Late Palaeolithic","LPal_SG",3,12.247589,49.01654,"13,000-12,700","Typology,Environment","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Heinen 2005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","Site auch in Posch Datensatz (sollte jetzt nichtmehr gedoppelt vorkommen, aber nochmal checken!)","NA",5,1
"Bad Buchau-Kappel","n/a","Late Palaeolithic","LPal_SG",34,9.594835,48.06538,"12,700-11,700","C14,Environment","Reliable","Openair","Stratified","Primary/insitu","Mixed","Preseved","After 2000","Jochim et al. 2015","NA","NA","x","x","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","BadBuchauKappel",5,1
"Fürth-Atzenhof","n/a","Atzenhofer group","Atzen_SG",34,10.955379,49.50823,"12,900-11,700","Typology,Environment","Problematic","Openair","Surface","Primary/insitu","Mixed","Preseved","1950-1980","Schönweiß 1974","NA","NA","x","x","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","AtzenhofFurth",1,3
"Altenberg","n/a","Atzenhofer group","Atzen_SG",34,10.979523,49.442852,"12,900-11,700","Typology,Environment","Problematic","Openair","Surface","Secondary/relocated","Mixed","No","1950-1980","Schönweiß 1982","NA","NA","NA","x","NA","NA","x","x","NA","NA","NA","NA","Southern Germany","SG","NA","Altenberg",0,3
"Jägerhaushöhle (Schicht 13)",13,"Beuronian A","BeurA_SG",4,8.96594,48.031201,11,"C14","Reliable","Cave","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Taute 1971","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","JagerhaushohleSchicht13",4,2
"Haspelmoor","n/a","Beuronian A","BeurA_SG",4,11.115115,48.216607,"11,500-11,000","Typology,Environment","Reliable","Openair","Surface","Primary/insitu","Mixed","No","1980-2000","Graf 2015","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Southern Germany","SG","NA","HaspelmoorHattenhofen",3,2
"Gampelen Jänet 3","Schicht 4","Early Mesolithic I","EMeso_CH",4,7.064902,47.012282,"11,500-11,000","Typology,Environment","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1980-2000","Nielsen 1991","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Switzerland","CH","NA","Janet3",4,2
"Abri Vionnaz","Couche 11-9.3","Early Mesolithic I","EMeso_CH",4,6.90619,46.295675,"11,800-11,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Chaix et al. 2003","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Switzerland","CH","NA","AbriVionnaz1,AbriVionnaz2",5,1
"Pont d'Ambon (c4)","NA","Early Azilian","EAzil_SWF",1,0.5383,45.3012,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Célérier 1993,1998","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Western France","SWF","NA","PontdAmbon,PtdAmbon",2,3
"Murat (UA2)","NA","Early Azilian","EAzil_SWF",1,1.5705,44.8039,"12,500-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Lorblanchet 1985,1996","x","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","Western France","SWF","NA","Murat",4,2
"Bois Ragot (niv.4)","NA","Early Azilian","EAzil_SWF",12,0.4156,46.2307,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Chollet and Dujardin 2005","x","x","NA","NA","x","x","NA","NA","x","x","NA","NA","Western France","SWF","NA","BoisRagotniv4,BoisRagot",2,3
"Rocher de l'Impératrice","NA","Early Azilian","EAzil_SWF",12,-4.375583,48.389083,"12,500-12,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","No","After 2000","Naudinot et al. 2017,2018","NA","NA","NA","NA","x","x","NA","NA","x","x","NA","NA","Western France","SWF","NA","Imperatrice",6,1
"Pont d'Ambon (c2)","NA","Early Laborian","ELab_SWF",34,0.5383,45.3012,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Célérier 1993,1998","NA","NA","x","x","NA","NA","NA","NA","NA","NA","NA","NA","Western France","SWF","NA","PontdAmbon,PtdAmbon",2,3
"Malaurie","NA","Early Laborian","ELab_SWF",34,1.5719,44.8033,"10,500-10,000","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Unpublished","NA","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","Western France","SWF","NA","Malaurie",6,1
"Port-de-Penne","NA","Early Laborian","ELab_SWF",4,0.8045,44.3952,"10,500-10,000","C14","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Langlais et al. 2014,2020","NA","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","Western France","SWF","NA","PortdePenne,PortdePennerecent",5,1
"Pont d'Ambon (c3)","NA","Late Azilian","LAzil_SWF",23,0.5383,45.3012,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Célérier 1993,1998","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","Western France","SWF","NA","PontdAmbon,PtdAmbon,PtdAmbonc3",2,3
"Les Prises","NA","Late Azilian","LAzil_SWF",23,0.2726,45.4804,"na","Undated","NA","Openair","Stratified","Primary/insitu","Mixed","No","After 2000","Naudinot 2010","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","Western France","SWF","NA","LesPrises",4,2
"Bois Ragot (niv.3)","NA","Late Azilian","LAzil_SWF",23,0.4156,46.2307,"bad date","C14","Problematic","Rockshelter","Stratified","Primary/insitu","Mixed","Preseved","1950-1980","Chollet and Dujardin 2005","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","Western France","SWF","NA","BoisRagotniv3,BoisRagot",2,3
"Les Chaloignes","NA","Late Azilian","LAzil_SWF",23,0.3326,47.2306,"na","Undated","NA","Openair","Stratified","Primary/insitu","Homogeneous","No","1980-2000","Marchand et al. 2008,2009,2011","NA","x","x","NA","NA","x","x","NA","NA","NA","NA","NA","Western France","SWF","NA","Chaloignes",4,2
"Peyrazet (c1-2)","NA","Late Laborian","LLab_SWF",4,1.6108,44.9017,"10,000-9,500","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Langlais et al. 2015","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Western France","SWF","NA","Peyrazet",6,1
"Cuze de Sainte Anastasie","NA","Late Laborian","LLab_SWF",4,2.9765,45.1637,"na","Undated","NA","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Langlais et al. 2018","NA","NA","NA","x","NA","NA","NA","NA","NA","NA","NA","NA","Western France","SWF","NA","CuzedeSainteAnastasie",3,2
"La Fosse","NA","Late Laborian","LLab_SWF",4,0.4221,47.5602,"na","Undated","NA","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Naudinot and Jacquier 2014,Jacquier and Naudinot 2015,Naudinot 2010,2013","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","x","Western France","SWF","NA","LaFosse",5,1
"Le Camp d'Auvours","NA","Late Laborian","LLab_SWF",4,0.2202,48.0022,"na","Undated","NA","Openair","Stratified","Primary/insitu","Homogeneous","No","1950-1980","Naudinot 2010,2013","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","NA","Western France","SWF","NA","Auvours",3,2
"Peyrazet (c4)","NA","Upper Magdalenian","UMag_SWF",1,1.6108,44.9017,"MISSING","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Langlais and Laroulandie 2021","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Western France","SWF","NA","NA",6,1
"Murat (UA3)","NA","Upper Magdalenian","UMag_SWF",1,1.5705,44.8039,"MISSING","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1980-2000","Fat Cheung and Langlais 2020","x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Western France","SWF","NA","Murat",5,1
"Bois Ragot (niv.5)","NA","Upper Magdalenian","UMag_SWF",1,0.4156,46.2307,"15,500-14,400","C14","Reliable","Rockshelter","Stratified","Primary/insitu","Homogeneous","Preseved","1950-1980","Chollet and Dujardin 2005","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Western France","SWF","NA","BoisRagotniv5,BoisRagot",4,2
"Klementowice 10","NA","Magdalenian","Mag_PL",1,22.14915706,51.34101435,"15600-14500 calBP","Poz-54822 12730±90 BP-charcoal;","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","Preseved","After 2000","Wiśniewski 2015","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","Klementowice20",6,1
"Cmielow 95 ""Mały Gawroniec""","NA","Magdalenian","Mag_PL",1,21.53464797,50.8828356,"15600-14500 calBP","typology","Reliable","Openair","Stratified","Secondary/relocated","Homogeneous","No","After 2000","Przeździecki et al. 2012","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","Cmielow95",5,1
"Wierzawice 31","NA","Magdalenian","Mag_PL",1,22.46240085,50.22233587,"15600-14500 calBP","typology","Reliable","Openair","Stratified","Primary/insitu","Homogeneous","No","After 2000","Bobak et al. 2010","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Poland","PL","NA","Wierzawice31",6,1
"Wilczyce 10","NA","Magdalenian","Mag_PL",1,21.65624781,50.74282216,"15600-14500 calBP","Ua-15721 8415±100  AMS worked horse bone from 4-5 cm below base Ap; Poz-19047 11340±60  AMS charcoal (small sample); Ua-15720 11400± 135  AMS rhino tooth from 1-2 cm below Ap; Ua-15722 11665±135  AMS beaver tooth from 35 cm below Ap; Poz-19049 11870±120  AMS charcoal (small sample); Ua-15723 1189±105  AMS arctic fox bone from 55 cm below Ap; Poz-19046 11960 ±140  AMS charcoal (small sample); Ua-20412 12110±90  AMS bone; Ua-20413 12315±90  AMS ; Poz-14385 12390±100  AMS bone; Poz-14384 12480±70  AMS bone; Poz-14463 12550±80  AMS tooth; Poz-3926 12620±60  AMS bone; Poz-14892 12770±120  AMS very small pine charcoal fragment (minimal age); Poz-3927 12840±70  AMS bone; OxA-16729 12870±60  AMS infant's bone framents; Poz-3914 12960 60  AMS Charcoal; Poz-19048 13000 110  AMS charcoal (small sample); Poz-14891 13020 60  AMS charcoal; OxA-26546 13125 65  AMS tooth; OxA-26545 13155 65  AMS Ivory; OxA-16728 13180 60  AMS tooth from a necklace from the infant;","Reliable","Openair","Surface","Secondary/relocated","Homogeneous","Preseved","After 2000","Królik 2014","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","Wilczyce10",4,2
"Rydno ""Przy Torze""","cut II-1959","Magdalenian","Mag_PL",1,20.94926388,51.1154089,"15600-14500 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Schild et al. 2011","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","RydnoII59",3,2
"Liny 1","NA","Hamburgian","Ham_PL",1,15.8445360081,52.1131769036,"15500-14000 calBP","typology","Reliable","Openair","Surface","Primary/insitu","Homogeneous","No","1950-1980","Kobusiewicz 1973","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","Liny1",3,2
"Mirkowice 33","NA","Hamburgian","Ham_PL",1,17.4056351347,52.7735220745,"15500-14000 calBP","GrA-17715 12290±70 burnt bone","Reliable","Openair","Surface","Primary/insitu","Homogeneous","Preseved","1980-2000","Chłodnicki and Kabaciński 1997","x","NA","NA","NA","x","NA","NA","NA","x","NA","NA","NA","Poland","PL","NA","Mirkowice33",4,2
