Key_site,Level_layer_concentration,Site_ID
Jels,3,Jels3
Kabeliai 2,lower C layer,Kabeliai2
Kamegg,Verfüllungs Hallstattzeitliche Grube,Kamegg
Kašėtos,,Kasetos1
Kendrick’s Cave,"unclear, probably brecchia",
Kent's Cavern,Black band and cave earth,KentsCavern
Kilmelfort Cave,"unclear stratigraphic context, mostly out of context, salvage operation",KilmelfortCave
King Arthur's Cave,"unit 4, grey scree",
King Arthur's Cave,"unit 3, yellow scree",
Klementowice 10,,Klementowice20
Klosterlund,,Klosterlund
Kochlew 1,,Kochlew1
Kocierz 3 ,assemblage 1,Kocierz3assemblage1
Kocierz 3 ,assemblage 2,Kocierz3assemblage2
Krakow-Biezanow 15,assemblage 3,KrakowBiezanow15assemblage3
Kraków-Bieżanów 15,assemblage 1,KrakowBiezanow15assemblage1
Krakow-Biezanow 20,assemblage 1,KrakowBiezanow20assemblage1
Krogsboelle,,
Kůlna Cave,layers 5 and 6,Kulna6
Kůlna Cave,layer 4,Kulna4
Kůlna Cave,layer 3,Kulna3
La Fosse,,LaFosse
La Fru,"level 3-1,3-2",LaFru
La Fru,level 2-1,LaFru
La Pila,Unit III,
La Pila ,IV-2,
La Riera,27 upper,
Langaa,,Langaa
Lapa do Picareiro,F/G,
Lapa dos Coelhos,SU 4,LapadosCoelhos4
Lapa dos Coelhos,SU 3,"LapadosCoelhos3,LapadosCoelhosUS3 "
Launde,humic subsoil,Launde
Le Camp d'Auvours,,Auvours
Le Closeau,"Locus 4,33,46","LeCloseauLL,LeCloseauLocus4 "
Le Closeau,"Locus 14,20,25,26,34,36","LeCloseauLL,LeCloseauLocus14,LeCloseauLocus20,LeCloseauLocus26,LeCloseauLocus34,LeCloseauLocus36"
Le Regole 3,,
Legi 10,,Legi10
Les Chaloignes,,Chaloignes
Les Prises,,LesPrises
Les Tarterets 2,single layer,LesTarterets2
Lhota u Kestřan 1,,Lhota1
Liny 1,,Liny1
Loevenholm,,Lovenholm
Los Azules,Unit 3cs,"LosAzules3,LosAzulesUnit3"
Loštice I,,Lostice
"Lubon ""Z Wydmy""",,Lubon
Lubrza 42,,Lubrza42
Lykowe 1,,Lykowe1
Maksimonys 1,,Maksimonys1
Malaurie,,Malaurie
Margiai Island,,MargiaiIsland
Maskauka 6,,Maskauka6
Meer,three concentrations,MeerII
Meiendorf,,Meiendorf
Mergežeris 3,,Mergezeris3
Mergežeris 8,,Mergezeris8
Milheeze Hutseberg,two concentrations,"MilheezeHutseberg1,MilheezeHutseberg2"
Mirkowice 33,,Mirkowice33
Molí del Salt,Unit B2,
Molí del Salt,Unit B1,
Mother Grundy’s Parlour,"unstratified assemblage, mixed with Mesolithic",MotherGrundysParlour
Mother Grundy’s Parlour,stone tools from mixed (Mesolithic) contexts,MotherGrundysParlour
Murat (UA2),,Murat
Murat (UA3),,Murat
Muttenz,n/a,
Nadap,Cultural layer 7 - sandy slope loess,Nadap
Nea Farm,"uniform open-air site, refitting",NeaFarm
Nerja,Mina 16,
Neuchâtel-Monruz (secteur 1),secteur 2,NeuchateMonruz
Noerregaard,VI,NorregaardVI
Nowa Biała 1,,NowaBiala1
Olbrachcice 8,,Olbrachcice8
Orp,EAST and WEST,Orp
Oscura de Ania,Unit 0b,
Oscura de Ania,,
Palù Echen,"SSUU 6, 7",PaluEchen
Parco,Unit II,ParcoII
Parco ,I asup,
Parupė,,Parupe1
Pasieniai 1,C layer,Pasieniai1
Pekárna Cave,,Pekarna
Peña 14,Level d,Pena14
Peña de Estebanvela,Unit III,
Peyrazet (c1-2),,Peyrazet
Peyrazet (c4),,
Pin Hole Cave,Cave floor surface collection,PinHoleCave
Pixie's Hole,stratified,PixiesHole
Pixie's Hole Cave,unstratified,
Plan de Frea IV,3BIV,
Pludy A,,PludyA
Plzeň-Roudná,,Pilsen
Poggenwisch,,Poggenwisch
Pont d'Ambon (c2),,"PontdAmbon,PtdAmbon"
Pont d'Ambon (c3),,"PontdAmbon,PtdAmbon,PtdAmbonc3"
Pont d'Ambon (c4),,"PontdAmbon,PtdAmbon"
Port-de-Penne,,"PortdePenne,PortdePennerecent"
Portugain,Unit 1,
Przeginia Narodowa 1,,PrzeginiaNarodowa1
Quinta da Barca do Sul,Unit 3 (UA8),
Rascaño,Unit 2,Rascanolevel2
Rascaño,Unit 2,Rascanolevel2
Rekem,entire site (16 clusters),Rekem
Remouchamps,occupation layer cave site,Remouchamps
Riparo Biarzo,SU 5,Biarzolayer5
Riparo Dalmeri,SU 15a-65,RiparoDalmeripossiblylayer15
Riparo Dalmeri,"SSUU 14,26b",RiparoDalmeriUpperlayers
"Riparo di Romagnano, Loc III",AF,RomagnanoLocIIIlayerAE
Riparo La Cogola,SU 18,LaCogolaSU18
Riparo La Cogola ,SU 19,LaCogolaSU19
Riparo Tagliente ,from (11?) 10 to 7 (4?),RiparoTaglientelayer10
Riparo Villabruna,from 17 to 10,"VillabrunaLayers17u16,Villabrunalayers17u16 "
Rissen 14,,Rissen14
Rissen 14a,,Rissen14a
Riverdale,"surface scatter, unstratified",
"Robin Hood Cave, Campbell","unstratified assemblage, relatively uniform assemblage in talus","RobinHoodCave,RobinHoodsCave"
Rocher de l'Impératrice,,Imperatrice
Rookery Farm,"bioturbated and palimpsest subsoil horizon, refitting",RookeryFarm
Rotnowo 18,cut I-1997-lower level,Rotnowo18ll
Rotnowo 18 ,cut I-1997-upper level,Rotnowo18
Roureda ,II,Roureda
Ruien,"two concentrations (coeval, cf refitting)",
Rundebakke,,Rundebakke
Rydno ,cut II-1990,RydnocutII90
"Rydno ""Michalow-Piaska""",cut I-1996,RydnoMichPiascutI1996
"Rydno ""Pastwisko""",cut VII-1960,RydnoPastwiskocutVII1960
"Rydno ""Pastwisko""",cut IV-1957,RydnoPastwiskocutIV1957
"Rydno ""Pastwisko"" ",cut IV-1960,RydnoPastwiskocutIV1960
"Rydno ""Pastwisko"" ",cut XI-1961,RydnoPastwiskocutXI1961
"Rydno ""Przy Torze""",cut II-1959,RydnoII59
"Rydno ""Sahara Cypel"" ",cut I-1988,RydnocutI88
"Rydno ""Sahara Cypel"" ",cut I-1990,RydnocutI90
"Rydno ""Sahara Cypel"" ",cut II-1989,"RydnocutII89,RydnocutI89"
"Rydno ""Sahara Cypel"" ",cut III-1990 concentration N,RydnocutIII90N
"Rydno ""Sahara Cypel"" ",cut III-1990 concentration S,RydnocutIII90S
"Rydno ""Sahara""",cut I-1976,RydnoSaharacutI1976
"Rydno ""Sahara""",cut II-1976,RydnoSaharacutII1976
"Rydno ""Sahara""",cut V-1977,RydnoSaharacutV1977
"Rydno ""Sandro""",cut I-1957,RydnoSandrocutI1957
"Rydno ""U Wygonu""",cut XI-1959,RydnocytXI1959
"Rydno ""U Wygonu""",cut II-1956,RydnocutII1956
Santa Maira,Unit 5,
Santa Maira,SM-4.2,
Santa Maira,Unit 4.1,
Santimamiñe,Lnc,SantimamineSlnc
Santimamiñe,Arcp,
Santimamiñe,Lnc,
Sarching83 ,n/a,
Sassenholz 78,,Sassenholz78
Sassenholz 82,,Sassenholz82
Seamer C,"Scatters B1, H and K",SeamerCarrK
Seamer K," Clusters 13/14, 3/4 and 6 and smaller scatters 15, 25 and 27",
Seamer L,,
Seeberg-Fürsteiner ,n/a,FursteinerSeeberg
Segebro,,Segebro
Šilelis 2,,Silelis2
Šipka Cave,,
Skovmosen,,Skovmosen
Slotseng,C,"SlotsengC,Slotseng"
Slotseng,B,"SlotsengB,Slotseng"
Slotseng,D,Slotseng
Socuevas ,Unit III,
Soelbjerg,2/3,Soelbjerg2
Soelbjerg,1,Soelbjerg
Sproughton,in low energy sands and gravels sealed by peat,Sproughton
Sromowce Niżne 1,,SromowceNizne1
Star Carr,Detrital wood horizon and central platform,StarCarr
Stará Ľubovňa – Pod Štokom II,light brown greasy filling (layer 2),
Stellmoor,,Stellmoor
Stoksbjerg,Vest,"StoksbjergVest,StoksbjergVestI,StoksbjergVestIV"
StoksbjergBro,,
Sudota 2,,Sudota2
Sun Hole,"upper part pleistocene levels, 1951-54, unclear",SunHole
Swidry Wielkie II,,SwidryWielkieII
Syltholm,VII,SyltholmVII
Symmonds Yat,"stratified, reddish-brown gritty clay",SymondsYat
Szczebra 14,,Szczerba14
Szczecin-Bukowo 1,,SzczecinBukowo1
Szeksârd - Palânk,"gelbiche, sandige Löss-Schicht",Szeksard
Three Holes Cave,"stratified, lower level",ThreeHolesCave
Three Holes Cave,"stratified, upper level",ThreeHolesCave
Three Ways Warf,Scatters A and C,"TheeWaysWharf,TheeWaysWharfA,TheeWaysWharfC,ThreeWaysWharfCEast,ThreeWaysWharfCWest"
Tišnov,,Tisnov
Titnas 1A,,
Tokary-Rabiez,,TokaryRabiez
Tossal de la Roca,Unit II int,
Trollesgave,,Trollesgave
Trou de Chaleux,Otte and older Dupont excavations,TroudeChaleux
Unken,Dunkle humose Schicht,Unken
Unter den Seewaenden,1 Fundhorizont: Mischung aus Sediment 4 und 7,Seewaende
Urratxa III,Unit II,
Voletiny,,Voletiny
Wehlen,,Wehlen
Weitsche,,Weitsche
Westelbeers,several concentrations (minimum one but mixed with Early Mesolithic),WestelbeersZW
Westertimke Fpl. 69,,
Wey Manor Farm,uniform open-air site,WeyManorFarm
Wierzawice 31,,Wierzawice31
Wilczyce 10,,Wilczyce10
Witow,level 5b assemblage 1,Witow5Cassemblage1
Witow,level 5b assemblage 2,Witow5Cassemblage2
Witow,level 5b assemblage 3,Witow5Cassemblage3
Witow,level 5b assemblage 4,Witow5Cassemblage4
Wojnowo A,cut I-1975,WojnowoAcutI75
Wojnowo A,cut III-1975,"WojnowoAcutIII5,WojnowoAcutIII75"
Wolkusz 3,,Wolkusz3
"Wolkusz 5 ""Skupisko z lisciakiem""",,Wolkusz5SzL
"Wolkusz 5 ""W sadzie""",,Wolkusz5wsadzie
Zagacie 2,,Zagacie2
"Zigeunerfels (Schicht E,Schicht D)","E, D",ZigeunerfelsDE
Zigeunerfels (Schicht F),H/I-F,"ZigeunerfelsF,ZigeunerfelsFG"
Zöld Cave,Layer 3,Zoeld
Zonhoven-Kapelberg,single concentration,ZonhovenMolenheide
Zonhoven-Molenheide,five concentrations (coeval refitting),ZonhovenMolenheide
