"","Timeslice","TaxUnit","Region","Site","ShortImageRef","ToolClass","KnappingDirection","IMAGE","ARTEFACTNAME","SCALE","Timeslice_range_from","Timeslice_range_to","Long","Lat","length_cm","width_cm","area_cm2","perimeter_cm","calliper_cm","circularity","eccentricityeigen","AD","BC","amp","sym"
"16","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1_pseudo_no_2",0.031176,"1","1",4.86,50.36,4.35,2.71,9.17,11.76,4.51,5.8,0.49,1.21119782208393,1.95153607880574,3.16273390088967,0.382959129676771
"17","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1_pseudo_no_3",0.031176,"1","1",4.86,50.36,2.28,1.34,2.03,5.83,2.28,3.94,0.37,0.532072416010753,2.38590036417105,2.9179727801818,0.182343173186695
"18","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1_pseudo_no_4",0.031176,"1","1",4.86,50.36,5.74,2.44,10.41,13.71,5.75,3.21,0.24,0.323288590635715,2.29109462006271,2.61438321069842,0.123657690774931
"19","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_1_pseudo_no_5",0.031176,"1","1",4.86,50.36,6.19,1.69,7.66,13.52,6.2,2.39,0.11,0.303167209283265,2.18625718882683,2.48942439811009,0.121782051109253
"20","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2_pseudo_no_1",0.035169,"1","1",4.86,50.36,2.97,1.49,3.45,7.53,3.03,3.75,0.32,0.829041622617003,2.13592738462355,2.96496900724056,0.279612238978706
"21","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2_pseudo_no_2",0.035169,"1","1",4.86,50.36,3.07,1.17,2.81,7.17,3.08,2.99,0.21,0.484363946204572,2.17577262914892,2.6601365753535,0.1820823602413
"22","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2_pseudo_no_3",0.035169,"1","1",4.86,50.36,3.64,1.71,4.37,8.62,3.64,3.86,0.3,0.405266625635896,2.28858690603807,2.69385353167397,0.150441225133744
"23","TS1","Mag","BSN","BoisLaiterie","OtteStraus1997","BR",NA,"TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2","TS1_Mag_BSN_BoisLaiterie_OtteStraus1997_BR_NA_2_pseudo_no_4",0.035169,"1","1",4.86,50.36,2.77,0.7,1.5,6.02,2.77,2.36,0.1,0.226054110440358,2.16492379728809,2.39097790772845,0.0945446253224148
"24","TS1","Mag","BSN","Eyserheide","Rensink2010","BR",NA,"TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1","TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1_pseudo_no_1",0.03326,"1","1",5.93,50.84,9.6,2.16,17.04,21.17,9.62,2.27,0.09,0.0779374264347362,2.20511411516305,2.28305154159779,0.0341373924393279
"25","TS1","Mag","BSN","Eyserheide","Rensink2010","BR",NA,"TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1","TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1_pseudo_no_2",0.03326,"1","1",5.93,50.84,8.71,2.26,15.04,18.91,8.71,2.41,0.11,0.112139207727727,2.19526471127087,2.30740391899859,0.0485997301141775
"26","TS1","Mag","BSN","Eyserheide","Rensink2010","BR",NA,"TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1","TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1_pseudo_no_3",0.03326,"1","1",5.93,50.84,4.76,1.73,5.25,11.05,4.77,2.54,0.16,0.847806281895866,2.20520040999392,3.05300669188978,0.277695520336735
"27","TS1","Mag","BSN","Eyserheide","Rensink2010","BR",NA,"TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1","TS1_Mag_BSN_Eyserheide_Rensink2010_BR_NA_1_pseudo_no_4",0.03326,"1","1",5.93,50.84,5.31,2.24,9.32,13.09,5.38,3.26,0.25,0.208034154921831,2.37894405476337,2.5869782096852,0.0804158899147226
"28","TS1","Mag","BSN","Orp","Vermeersch1987","BR",NA,"TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1","TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1_pseudo_no_2",0.02941,"1","1",4.97,50.69,4.63,1.98,5.8,10.93,4.64,3.08,0.22,0.458390697611361,2.39021828445189,2.84860898206325,0.160917381254393
"29","TS1","Mag","BSN","Orp","Vermeersch1987","BR",NA,"TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1","TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1_pseudo_no_3",0.02941,"1","1",4.97,50.69,4.92,2.55,9.98,12.65,4.98,4.3,0.36,0.182647001349856,2.36978618621633,2.55243318756619,0.0715579950298383
"30","TS1","Mag","BSN","Orp","Vermeersch1987","BR",NA,"TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1","TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1_pseudo_no_4",0.02941,"1","1",4.97,50.69,4.47,2.37,7.27,11.22,4.48,3.95,0.33,0.450375219271783,2.37836951733884,2.82874473661062,0.159213807256225
"31","TS1","Mag","BSN","Orp","Vermeersch1987","BR",NA,"TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1","TS1_Mag_BSN_Orp_Vermeersch1987_BR_NA_1_pseudo_no_5",0.02941,"1","1",4.97,50.69,1.67,0.51,0.7,3.77,1.67,2.62,0.15,0.178610513701414,2.21213651176955,2.39074702547096,0.0747090812195944
"32","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_1",0.032849,"1","1",4.95,50.22,5.13,1.39,5.35,11.69,5.15,2.35,0.11,0.269168248574531,2.21162020164871,2.48078845022324,0.108501089059129
"33","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_10",0.032849,"1","1",4.95,50.22,3.87,2.45,6.02,10.1,3.87,4.64,0.46,0.71648680377104,2.32339375247871,3.03988055624975,0.235695709260024
"34","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_11",0.032849,"1","1",4.95,50.22,2.41,1.92,2.98,6.76,2.43,7.67,0.68,0.840347306738235,2.32164529976919,3.16199260650743,0.265765108055214
"35","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_12",0.032849,"1","1",4.95,50.22,3.03,2.25,3.87,8.11,3.06,4.46,0.5,1.99094260240832,1.67360927755534,3.66455187996366,0.54329769849733
"36","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_2",0.032849,"1","1",4.95,50.22,4.07,1.26,3.89,9.02,4.07,2.67,0.15,0.304206373854338,2.19986245500036,2.50406882885469,0.121484829150433
"37","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_3",0.032849,"1","1",4.95,50.22,3.63,1.29,3.23,8.31,3.64,2.83,0.18,0.660963758941842,2.21067948848563,2.87164324742748,0.23016917562234
"38","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_4",0.032849,"1","1",4.95,50.22,2.37,1.94,2.78,6.66,2.37,5.88,0.72,0.350641071308462,2.54519644799737,2.89583751930583,0.121084511465448
"39","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_5",0.032849,"1","1",4.95,50.22,4.36,1.65,5.66,10.38,4.39,3.03,0.21,0.185493848018152,2.32763614813194,2.51312999615009,0.073809889779802
"40","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_6",0.032849,"1","1",4.95,50.22,2.11,1.71,2.49,5.93,2.12,11.64,0.72,0.334184284834318,2.30265367970018,2.6368379645345,0.126736754146103
"41","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_7",0.032849,"1","1",4.95,50.22,1.53,1.43,1.41,4.46,1.53,12.27,0.94,0.932041743426565,2.15808595036555,3.09012769379212,0.301619167809466
"42","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_8",0.032849,"1","1",4.95,50.22,2.04,1.91,2.7,6.01,2.04,13.77,0.9,0.309975518808904,2.24162949573482,2.55160501454372,0.121482563736196
"43","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_1_pseudo_no_9",0.032849,"1","1",4.95,50.22,4.51,2.98,9.37,11.92,4.52,5.48,0.51,1.02407080591429,2.13089193967963,3.15496274559392,0.324590459061508
"44","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_1",0.033077,"1","1",4.95,50.22,3.02,1.57,3.37,7.57,3.04,3.8,0.33,0.874199923336983,2.15323056858121,3.02743049191819,0.288759700898396
"45","TS1","Mag","BSN","TroudeChaleux","Otte1994","BR",NA,"TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2","TS1_Mag_BSN_TroudeChaleux_Otte1994_BR_NA_2_pseudo_no_10",0.033077,"1","1",4.95,50.22,3.28,0.78,1.89,7.06,3.28,2.3,0.09,0.387112764322364,2.14184171247626,2.52895447679862,0.153072254907651
